p4	x2	x1	p2	p5	 diagonal_sum	lambda1	 lambda2	equation1	equation2
10	2.7	0.56	0.12	1.07	0.0 	 0.61j 	 -0.61j	0.000	-0.000
10	2.8	0.59	0.12	1.09	-0.0 	 0.74j 	 -0.74j	0.000	-0.000
10	2.9	0.60	0.12	1.08	0.0 	 (-0+0.8j) 	 (-0-0.8j)	0.000	0.000
10	3.0	0.62	0.12	1.05	0.0 	 0.83j 	 -0.83j	0.000	0.000
10	3.1	0.63	0.11	1.02	-0.0 	 (-0+0.84j) 	 (-0-0.84j)	-0.000	0.000
10	3.2	0.63	0.11	0.98	0.0 	 0.83j 	 -0.83j	-0.000	0.000
10	3.3	0.64	0.10	0.94	-0.0 	 (-0+0.81j) 	 (-0-0.81j)	0.000	-0.000
10	3.4	0.64	0.10	0.90	-0.0 	 (-0+0.79j) 	 (-0-0.79j)	0.000	0.000
10	3.5	0.65	0.09	0.85	-0.0 	 (-0+0.76j) 	 (-0-0.76j)	0.000	0.000
10	3.6	0.65	0.09	0.81	-0.0 	 (-0+0.72j) 	 (-0-0.72j)	-0.000	-0.000
10	3.7	0.65	0.08	0.77	0.0 	 0.67j 	 -0.67j	0.000	0.000
10	3.8	0.66	0.08	0.73	0.0 	 (-0+0.62j) 	 (-0-0.62j)	0.000	0.000
10	3.9	0.66	0.07	0.69	0.0 	 0.56j 	 -0.56j	0.000	-0.000
10	4.0	0.66	0.07	0.65	-0.0 	 (-0+0.49j) 	 (-0-0.49j)	0.000	0.000
10	4.1	0.66	0.06	0.61	-0.0 	 (-0+0.41j) 	 (-0-0.41j)	0.000	0.000
10	4.2	0.66	0.06	0.57	0.0 	 (-0+0.31j) 	 (-0-0.31j)	-0.000	0.000
10	4.3	0.66	0.06	0.53	-0.0 	 (-0+0.16j) 	 (-0-0.16j)	0.000	0.000
12	2.1	0.58	0.21	2.33	0.0 	 1.5j 	 -1.5j	0.000	0.000
12	2.2	0.63	0.23	2.43	-0.0 	 (-0+1.77j) 	 (-0-1.77j)	0.000	0.000
12	2.3	0.66	0.24	2.43	0.0 	 1.91j 	 -1.91j	0.000	0.000
12	2.4	0.68	0.24	2.38	-0.0 	 (-0+1.99j) 	 (-0-1.99j)	0.000	0.000
12	2.5	0.69	0.24	2.32	0.0 	 2.04j 	 -2.04j	0.000	0.000
12	2.6	0.70	0.24	2.24	-0.0 	 (-0+2.07j) 	 (-0-2.07j)	0.000	-0.000
12	2.7	0.71	0.23	2.16	0.0 	 (-0+2.08j) 	 (-0-2.08j)	0.000	0.000
12	2.8	0.72	0.22	2.08	0.0 	 (-0+2.08j) 	 (-0-2.08j)	0.000	0.000
12	2.9	0.72	0.21	2.00	0.0 	 2.07j 	 -2.07j	0.000	0.000
12	3.0	0.73	0.20	1.92	-0.0 	 (-0+2.05j) 	 (-0-2.05j)	-0.000	0.000
12	3.1	0.73	0.19	1.84	-0.0 	 (-0+2.02j) 	 (-0-2.02j)	0.000	-0.000
12	3.2	0.74	0.18	1.77	0.0 	 (-0+1.99j) 	 (-0-1.99j)	0.000	0.000
12	3.3	0.74	0.17	1.69	0.0 	 1.96j 	 -1.96j	-0.000	-0.000
12	3.4	0.74	0.16	1.62	0.0 	 (-0+1.92j) 	 (-0-1.92j)	0.000	-0.000
12	3.5	0.74	0.15	1.55	0.0 	 1.88j 	 -1.88j	0.000	-0.000
12	3.6	0.75	0.14	1.49	0.0 	 1.84j 	 -1.84j	0.000	-0.000
12	3.7	0.75	0.13	1.43	-0.0 	 (-0+1.8j) 	 (-0-1.8j)	-0.000	-0.000
12	3.8	0.75	0.12	1.36	-0.0 	 (-0+1.75j) 	 (-0-1.75j)	0.000	0.000
12	3.9	0.75	0.11	1.31	0.0 	 1.71j 	 -1.71j	0.000	0.000
12	4.0	0.75	0.11	1.25	0.0 	 1.66j 	 -1.66j	-0.000	0.000
12	4.1	0.75	0.10	1.20	0.0 	 (-0+1.61j) 	 (-0-1.61j)	0.000	0.000
12	4.2	0.75	0.09	1.14	0.0 	 1.56j 	 -1.56j	0.000	-0.000
12	4.3	0.75	0.09	1.09	0.0 	 (-0+1.51j) 	 (-0-1.51j)	-0.000	-0.000
12	4.4	0.75	0.08	1.05	0.0 	 1.46j 	 -1.46j	0.000	-0.000
12	4.5	0.75	0.08	1.00	-0.0 	 (-0+1.41j) 	 (-0-1.41j)	0.000	0.000
12	4.6	0.75	0.07	0.95	-0.0 	 1.36j 	 -1.36j	-0.000	-0.000
12	4.7	0.75	0.07	0.91	0.0 	 1.31j 	 -1.31j	-0.000	0.000
12	4.8	0.75	0.06	0.87	-0.0 	 (-0+1.26j) 	 (-0-1.26j)	-0.000	0.000
12	4.9	0.75	0.06	0.83	0.0 	 1.2j 	 -1.2j	0.000	-0.000
12	5.0	0.75	0.05	0.79	-0.0 	 (-0+1.15j) 	 (-0-1.15j)	0.000	0.000
12	5.1	0.75	0.05	0.75	0.0 	 1.1j 	 -1.1j	0.000	0.000
12	5.2	0.74	0.05	0.72	0.0 	 1.04j 	 -1.04j	0.000	-0.000
12	5.3	0.74	0.04	0.68	0.0 	 0.98j 	 -0.98j	0.000	0.000
12	5.4	0.74	0.04	0.65	-0.0 	 (-0+0.93j) 	 (-0-0.93j)	0.000	0.000
12	5.5	0.74	0.04	0.61	0.0 	 0.87j 	 -0.87j	0.000	0.000
12	5.6	0.74	0.04	0.58	0.0 	 (-0+0.81j) 	 (-0-0.81j)	-0.000	0.000
