x2	x1	p2	 diagonal_sum	lambda1	 lambda2	equation1	equation2
0.1	0.02	0.0171	-1.6 	 -0.53 	 -1.03	0.0	0.1
0.2	0.04	0.0316	-1.3 	 (-0.66+0.07j) 	 (-0.66-0.07j)	0.0	0.3
0.3	0.06	0.0437	-1.1 	 (-0.54+0.21j) 	 (-0.54-0.21j)	0.0	0.4
0.4	0.07	0.0538	-0.8 	 (-0.42+0.24j) 	 (-0.42-0.24j)	0.0	0.5
0.5	0.09	0.0621	-0.6 	 (-0.3+0.21j) 	 (-0.3-0.21j)	0.0	0.6
0.6	0.11	0.0688	-0.4 	 -0.2 	 -0.16	0.1	0.8
0.7	0.13	0.0742	-0.1 	 -0.33 	 0.2	0.1	0.9
0.8	0.15	0.0784	0.1 	 -0.35 	 0.46	0.1	1.0
0.9	0.17	0.0816	0.3 	 -0.37 	 0.71	0.1	1.2
1.0	0.19	0.0839	0.6 	 -0.37 	 0.95	0.1	1.3
1.1	0.20	0.0855	0.8 	 -0.38 	 1.18	0.1	1.4
1.2	0.22	0.0864	1.0 	 -0.38 	 1.41	0.1	1.6
1.3	0.24	0.0867	1.3 	 -0.38 	 1.64	0.1	1.7
1.4	0.26	0.0866	1.5 	 -0.38 	 1.87	0.1	1.8
1.5	0.28	0.0862	1.7 	 -0.38 	 2.09	0.1	1.9
1.6	0.30	0.0854	1.9 	 -0.38 	 2.32	0.1	2.1
1.7	0.32	0.0843	2.2 	 -0.38 	 2.54	0.2	2.2
1.8	0.33	0.0830	2.4 	 -0.38 	 2.75	0.2	2.3
1.9	0.35	0.0816	2.6 	 -0.37 	 2.97	0.2	2.5
2.0	0.37	0.0800	2.8 	 -0.37 	 3.18	0.2	2.6
2.1	0.39	0.0783	3.0 	 -0.37 	 3.39	0.2	2.7
